fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails.currentIcuCovid,metrics.icuHeadroomDetails.currentIcuCovidMethod,metrics.icuHeadroomDetails.currentIcuNonCovid,metrics.icuHeadroomDetails.currentIcuNonCovidMethod,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
17,US,IL,,state,,iso1:us#iso2:us-il,,12671821,0.008,other,2.3,2.58,0.65,0.1,0.12,156,actual,2004,actual,0.64,1,0,1,0,0,0,0,1392390,25531,1369541,19562595,3800,38143,22404,751,0.58,3359,2160,156,0.615201900238,385,14440975,7266404,5463230,2021-06-17,https://covidactnow.org/us/illinois-il,0.573,0.431,26,12332481
18,US,IN,,state,,iso1:us#iso2:us-in,,6732219,0.032,other,5.0,0.94,0.85,0.1,0.14,123,actual,1423,actual,0.67,1,1,1,0,0,0,0,753115,13763,836708,7885542,1600,18472,13060,547,0.57,2292,1546,123,0.653419593346,337,6593130,2912100,2566967,2021-06-17,https://covidactnow.org/us/indiana-in,0.433,0.381,11,5383210
20,US,KS,,state,,iso1:us#iso2:us-ks,,2913314,0.036,other,3.8,0.64,1.0,0.13,0.1,27,actual,576,actual,0.7,1,1,1,1,1,0,0,317938,5161,297235,2799505,359,12492,5278,114,0.51,859,603,27,0.633136094675,294,3034935,1401852,1175638,2021-06-17,https://covidactnow.org/us/kansas-ks,0.481,0.404,3,2413573
21,US,KY,,state,,iso1:us#iso2:us-ky,,4467673,0.023,other,4.2,1.34,0.88,0.11,0.08,66,actual,1047,actual,0.61,1,0,1,0,0,0,0,463448,7222,495370,4090903,1240,19775,8854,283,0.59,1837,1113,66,0.66,201,4392565,2151246,1831498,2021-06-17,https://covidactnow.org/us/kentucky-ky,0.482,0.41,4,3830698
22,US,LA,,state,,iso1:us#iso2:us-la,,4648794,0.03,other,6.6,0.52,0.97,0.1,0.11,88,actual,1092,actual,0.63,1,0,1,1,1,0,0,476792,10670,528020,6237474,800,20906,9619,260,0.55,1874,1180,88,0.668632075472,325,3983850,1725705,1546253,2021-06-17,https://covidactnow.org/us/louisiana-la,0.371,0.333,10,3237207
25,US,MA,,state,,iso1:us#iso2:us-ma,,6892503,0.004,other,1.3,5.3,0.66,0.13,0.14,45,actual,1070,actual,0.8,1,0,1,0,0,0,1,709080,17953,790620,22339559,2350,24379,16318,154,0.72,1393,1115,45,0.5,68,9581900,4737042,4018459,2021-06-17,https://covidactnow.org/us/massachusetts-ma,0.687,0.583,4,8509530
24,US,MD,,state,,iso1:us#iso2:us-md,,6045680,0.009,other,1.4,3.22,0.71,0.13,0.14,69,actual,810,actual,0.68,1,0,1,0,0,0,0,461687,9695,943547,10427244,1400,14456,9566,411,0.72,1291,879,69,0.66,78,8305030,3627970,3201469,2021-06-17,https://covidactnow.org/us/maryland-md,0.6,0.53,6,6587564
23,US,ME,,state,,iso1:us#iso2:us-me,,1344212,0.012,other,3.2,0.4,0.71,0.19,0.2,23,actual,207,actual,0.71,1,0,1,1,0,0,1,68683,853,62414,2286546,86,3847,2368,86,0.63,322,230,23,0.7246753246750001,51,1818640,876792,789822,2021-06-17,https://covidactnow.org/us/maine-me,0.652,0.588,5,1562730
26,US,MI,,state,,iso1:us#iso2:us-mi,,9986857,0.014,other,2.8,0.71,0.68,0.1,0.23,170,actual,1809,actual,0.77,1,0,1,1,0,0,1,996275,20808,1086017,13171422,1000,27031,18631,650,0.61,2563,1979,170,0.776520051746,220,11450790,5024633,4485517,2021-06-17,https://covidactnow.org/us/michigan-mi,0.503,0.449,5,9109576
27,US,MN,,state,,iso1:us#iso2:us-mn,,5639632,0.013,other,2.3,1.59,0.68,0.12,0.18,49,actual,645,actual,0.76,1,0,1,0,0,0,1,604145,7616,891825,11602565,1028,17693,8085,236,0.6,913,694,49,0.532017075774,86,6448490,3152883,2780354,2021-06-17,https://covidactnow.org/us/minnesota-mn,0.559,0.493,5,5674739
